"DOTA_Tooltip_ability_antimage_mana_break_custom"										"Mana Break"
"DOTA_Tooltip_ability_antimage_mana_break_custom_Description"							"Каждая атака сжигает ману цели и наносит ей урон, равный доле от сожжённой маны. Замедляет жертв, у которых нет маны.<br><br><b><font color='#ff0000'>Иллюзии сжигают %illusion_burn% маны</span></b>"
"DOTA_Tooltip_ability_antimage_mana_break_custom_Lore"									"Изменённый приём турстаркурийских монахов, обращающий волшебную энергию против самого чародея."
"DOTA_Tooltip_ability_antimage_mana_break_custom_mana_per_hit"							"СЖИГАНИЕ МАНЫ ЗА АТАКУ:"
"DOTA_Tooltip_ability_antimage_mana_break_custom_mana_per_hit_pct"						"%СЖИГАЕМАЯ ДОЛЯ ОТ МАКС. МАНЫ:"
"DOTA_Tooltip_ability_antimage_mana_break_custom_move_slow"								"%ЗАМЕДЛЕНИЕ ЦЕЛЕЙ БЕЗ МАНЫ:"
"DOTA_Tooltip_ability_antimage_mana_break_custom_slow_duration"							"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_antimage_mana_break_custom_percent_damage_per_burn"				"УРОН ЗА СОЖЖЕННУЮ МАНУ:"
"DOTA_Tooltip_ability_antimage_mana_break_custom_shard_description"						"Когда ваша атака выжигает ману, вы наносите магический урон всем противникам в радиусе 300, равный <b><span class='green-text'>100%</span></b> от сожжённой маны<br><br>Не наносит урона основной цели"


"DOTA_Tooltip_modifier_antimage_mana_break_custom_slow"									"Замедление от Mana Break"
"DOTA_Tooltip_modifier_antimage_mana_break_custom_slow_Description"						"Существо замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"hero_change_npc_dota_hero_antimage_1" "Наносит <b><font color='#ff0000'>80%</span></b> урона постройкам"
"hero_change_npc_dota_hero_antimage_2" "Aghanim Shard изменен"
"hero_change_npc_dota_hero_antimage_3" "Выжигание маны снижено до <b><font color='#ff0000'>30</span></b> + <b><font color='#ff0000'>2.2%</span></b> маны (<b><font color='#ff0000'>10</span></b> для иллюзий)"
"hero_change_npc_dota_hero_antimage_4" "Перезарядка увеличена до <b><font color='#ff0000'>8</span></b> сек, дальность снижена до <b><font color='#ff0000'>1000</span></b>"
"hero_change_npc_dota_hero_antimage_5" "Перезарядка увеличена до <b><font color='#ff0000'>9</span></b> сек, сопротивление снижено до <b><font color='#ff0000'>25%</span></b>"
"hero_change_npc_dota_hero_antimage_6" "Blink Fragment перезаряжается 8 секунд (без зарядов)"


"font_disc_modifier_antimage_break_1" "24"
"upgrade_disc_modifier_antimage_break_1_1" "<b><span class='green-text'>+0.4</span></b> урона за единицу сжигаемой маны Mana Break"
"upgrade_disc_modifier_antimage_break_1_2" "<b><span class='green-text'>+0.8</span></b> урона за единицу сжигаемой маны Mana Break"
"upgrade_disc_modifier_antimage_break_1_3" "<b><span class='green-text'>+1.2</span></b> урона за единицу сжигаемой маны Mana Break"

"talent_disc_modifier_antimage_break_1_0" "<b><font color='#297016'>+0.4</span></b>/<b><font color='#297016'>+0.8</span></b>/<b><font color='#297016'>+1.2</span></b> урона за единицу сжигаемой маны Mana Break"
"talent_disc_modifier_antimage_break_1_1" "<b><span class='green-text'>+0.4</span></b>/<b><font color='#297016'>+0.8</span></b>/<b><font color='#297016'>+1.2</span></b> урона за единицу сжигаемой маны Mana Break"
"talent_disc_modifier_antimage_break_1_2" "<b><font color='#297016'>+0.4</span></b>/<b><span class='green-text'>+0.8</span></b>/<b><font color='#297016'>+1.2</span></b> урона за единицу сжигаемой маны Mana Break"
"talent_disc_modifier_antimage_break_1_3" "<b><font color='#297016'>+0.4</span></b>/<b><font color='#297016'>+0.8</span></b>/<b><span class='green-text'>+1.2</span></b> урона за единицу сжигаемой маны Mana Break"


"font_disc_modifier_antimage_break_2" "20"
